Timestamp	GazePointXLeft	GazePointYLeft	DistanceLeft	PupilLeftX	PupilLeftY	PupilArea	CRLeftX	CRLeftY	CRArea	ValidityLeft	GazePointXRight	GazePointYRight	DistanceRight	PupilRightX	PupilRightY	PupilArea	CRRightX	CRRightY	CRArea	ValidityRight
36161	-0.163819243290928	-24.2134491499089	500	305.494522691706	227.794992175274	1278	292.190476190476	222.857142857143	21	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36169	-0.0493263484010984	-25.6547520459075	500	305.577170418006	228.40192926045	1244	292.190476190476	222.857142857143	21	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36177	-0.380523360692671	-24.8034032718585	500	305.413438735178	228.052173913043	1265	292.190476190476	222.857142857143	21	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36186	-0.0592411974550711	-25.5730249491441	500	305.570970328789	228.367281475541	1247	292.190476190476	222.857142857143	21	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36194	-0.138080210439679	-24.6375528995994	500	305.474803149606	227.865354330709	1270	292.15	222.75	20	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36202	-0.0361795376306351	-24.7168839517837	500	305.520948616601	227.894861660079	1265	292.15	222.75	20	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36211	0.235101511422429	-25.8325167493325	500	305.664251207729	228.359903381643	1242	292.15	222.75	20	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36219	-0.27431695936584	-24.7860304992299	500	305.418844022169	227.933491686461	1263	292.15	222.75	20	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36227	-0.325775571722854	-24.6666606221369	500	305.393700787402	227.885039370079	1270	292.15	222.75	20	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36236	-0.404517170105967	-24.7175900194882	500	305.360538827258	227.909667194929	1262	292.15	222.75	20	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36244	-0.247198295990767	-24.7193069246143	500	305.429136975455	227.904196357878	1263	292.15	222.75	20	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36252	0.117351526167697	-25.716077904923	500	305.610483870968	228.314516129032	1240	292.15	222.75	20	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
