subj,arch,appr,ArchAppr,rep,acc
12,1,2,2,1,0.613039353
12,1,2,2,2,0.626891029
12,1,2,2,3,0.633988223
12,1,2,2,4,0.630965145
12,1,2,2,5,0.620114134
12,1,2,2,6,0.62714318
12,1,2,2,7,0.650703208
12,1,2,2,8,0.639908115
12,1,2,2,9,0.641477594
12,1,2,2,10,0.637061676
12,2,1,3,1,0.484686449
12,2,1,3,2,0.511202937
12,2,1,3,3,0.480001351
12,2,1,3,4,0.514170427
12,2,1,3,5,0.478358648
12,2,1,3,6,0.495523656
12,2,1,3,7,0.475741979
12,2,1,3,8,0.489371994
12,2,1,3,9,0.484325405
12,2,1,3,10,0.496706853
12,2,2,4,1,0.446008916
12,2,2,4,2,0.451877948
12,2,2,4,3,0.451119112
12,2,2,4,4,0.451807576
12,2,2,4,5,0.445424854
12,2,2,4,6,0.449542384
12,2,2,4,7,0.456297658
12,2,2,4,8,0.447699183
12,2,2,4,9,0.45045999
12,2,2,4,10,0.445455972
13,1,1,1,1,0.754924231
13,1,1,1,2,0.697143654
13,1,1,1,3,0.691405087
13,1,1,1,4,0.683573022
13,1,1,1,5,0.686439111
13,1,1,1,6,0.708935846
13,1,1,1,7,0.691583457
13,1,1,1,8,0.678299049
13,1,1,1,9,0.776601963
13,1,1,1,10,0.679763054
13,1,2,2,1,0.678988396
13,1,2,2,2,0.691847918
13,1,2,2,3,0.693825427
13,1,2,2,4,0.68648915
13,1,2,2,5,0.690914429
13,1,2,2,6,0.706809308
13,1,2,2,7,0.698195271
13,1,2,2,8,0.697119198
13,1,2,2,9,0.689121715
13,1,2,2,10,0.691288863
13,2,1,3,1,0.652242235
13,2,1,3,2,0.658266773
13,2,1,3,3,0.665476511
13,2,1,3,4,0.657760054
13,2,1,3,5,0.66504651
13,2,1,3,6,0.655152759
13,2,1,3,7,0.658335852
13,2,1,3,8,0.690510146
13,2,1,3,9,0.665371259
13,2,1,3,10,0.671170281
13,2,2,4,1,0.638720179
13,2,2,4,2,0.621577544
13,2,2,4,3,0.63730166
13,2,2,4,4,0.629310982
13,2,2,4,5,0.63845423
13,2,2,4,6,0.62430535
13,2,2,4,7,0.627523098
13,2,2,4,8,0.623123271
13,2,2,4,9,0.625309
13,2,2,4,10,0.637177412
14,1,1,1,1,0.816194911
14,1,1,1,2,0.81886216
14,1,1,1,3,0.825163327
14,1,1,1,4,0.809217746
14,1,1,1,5,0.857103724
14,1,1,1,6,0.829971902
14,1,1,1,7,0.839276
14,1,1,1,8,0.833389126
14,1,1,1,9,0.833706855
14,1,1,1,10,0.815179906
14,1,2,2,1,0.985011404
14,1,2,2,2,0.988577367
14,1,2,2,3,0.970730573
14,1,2,2,4,1.032102457
14,1,2,2,5,0.994433001
14,1,2,2,6,0.994635912
14,1,2,2,7,0.967072262
14,1,2,2,8,1.068278792
14,1,2,2,9,0.971155607
14,1,2,2,10,1.036014089
14,2,1,3,1,0.720970731
14,2,1,3,2,0.718465396
14,2,1,3,3,0.736952205
14,2,1,3,4,0.711557831
14,2,1,3,5,0.720556421
14,2,1,3,6,0.771273193
14,2,1,3,7,0.72222597
14,2,1,3,8,0.71087449
14,2,1,3,9,0.732603366
14,2,1,3,10,0.729769311
14,2,2,4,1,0.712283127
14,2,2,4,2,0.68416451
14,2,2,4,3,0.677605953
14,2,2,4,4,0.695358298
14,2,2,4,5,0.714205517
14,2,2,4,6,0.672801502
14,2,2,4,7,0.69094019
14,2,2,4,8,0.681526785
14,2,2,4,9,0.693710513
14,2,2,4,10,0.681518159
15,1,1,1,1,0.62510027
15,1,1,1,2,0.623499551
15,1,1,1,3,0.622446042
15,1,1,1,4,0.645247723
15,1,1,1,5,0.650758953
15,1,1,1,6,0.654392754
15,1,1,1,7,0.641245977
15,1,1,1,8,0.672544522
15,1,1,1,9,0.628352713
15,1,1,1,10,0.624507188
15,1,2,2,1,0.754387996
15,1,2,2,2,0.701724504
15,1,2,2,3,0.75231316
15,1,2,2,4,0.725479812
15,1,2,2,5,0.728906979
15,1,2,2,6,0.727048061
15,1,2,2,7,0.7268517
15,1,2,2,8,0.728857921
15,1,2,2,9,0.723379755
15,1,2,2,10,0.779062701
15,2,1,3,1,0.563477687
15,2,1,3,2,0.539959613
15,2,1,3,3,0.572375102
15,2,1,3,4,0.587389629
