subj,arch,appr,ArchAppr,rep,acc
3,2,2,4,2,0.969790003
3,2,2,4,3,0.982562861
3,2,2,4,4,0.969307697
3,2,2,4,5,1.000169678
3,2,2,4,6,0.949769534
3,2,2,4,7,0.98100772
3,2,2,4,8,0.935016397
3,2,2,4,9,0.929510387
3,2,2,4,10,0.966113933
4,2,2,4,1,0.786180439
4,2,2,4,2,0.767939459
4,2,2,4,3,0.783302159
4,2,2,4,4,0.793805856
4,2,2,4,5,0.790147029
4,2,2,4,6,0.798440463
4,2,2,4,7,0.780421597
4,2,2,4,8,0.783744104
4,2,2,4,9,0.80049141
4,2,2,4,10,0.783676183
5,2,2,4,1,0.559958276
5,2,2,4,2,0.549560312
5,2,2,4,3,0.578629971
5,2,2,4,4,0.612520122
5,2,2,4,5,0.527155234
5,2,2,4,6,0.56436249
5,2,2,4,7,0.556963943
5,2,2,4,8,0.547131225
5,2,2,4,9,0.531315367
5,2,2,4,10,0.560819141
6,2,2,4,1,0.728731283
6,2,2,4,2,0.732641014
6,2,2,4,3,0.740070133
6,2,2,4,4,0.730802492
6,2,2,4,5,0.748823643
6,2,2,4,6,0.71584835
6,2,2,4,7,0.751054597
6,2,2,4,8,0.756066072
6,2,2,4,9,0.720401111
6,2,2,4,10,0.743734839
7,2,2,4,1,0.567991755
7,2,2,4,2,0.532709344
7,2,2,4,3,0.554584734
7,2,2,4,4,0.579610871
7,2,2,4,5,0.537231778
7,2,2,4,6,0.561965854
7,2,2,4,7,0.553375855
7,2,2,4,8,0.552134574
7,2,2,4,9,0.548179487
7,2,2,4,10,0.548126856
8,2,2,4,1,0.539968295
8,2,2,4,2,0.537260476
8,2,2,4,3,0.515560767
8,2,2,4,4,0.544111287
8,2,2,4,5,0.556175867
8,2,2,4,6,0.536032861
8,2,2,4,7,0.551411997
8,2,2,4,8,0.526239913
8,2,2,4,9,0.521125102
8,2,2,4,10,0.544367647
10,2,2,4,1,0.801188652
10,2,2,4,2,0.812175883
10,2,2,4,3,0.807993401
10,2,2,4,4,0.785465114
10,2,2,4,5,0.816262072
10,2,2,4,6,0.800012278
10,2,2,4,7,0.818762663
10,2,2,4,8,0.82449609
10,2,2,4,9,0.798780744
10,2,2,4,10,0.795223588
11,2,2,4,1,0.746344008
11,2,2,4,2,0.758950869
11,2,2,4,3,0.689578201
11,2,2,4,4,0.759414828
11,2,2,4,5,0.670498408
11,2,2,4,6,0.749094553
11,2,2,4,7,0.74734028
11,2,2,4,8,0.692261571
11,2,2,4,9,0.719672282
11,2,2,4,10,0.772427353
12,2,2,4,1,0.559812936
12,2,2,4,2,0.546526282
12,2,2,4,3,0.551856759
12,2,2,4,4,0.540599541
12,2,2,4,5,0.564377517
12,2,2,4,6,0.561782812
12,2,2,4,7,0.531064523
12,2,2,4,8,0.556565414
12,2,2,4,9,0.54999298
12,2,2,4,10,0.559578373
13,2,2,4,1,0.697811218
13,2,2,4,2,0.703720427
13,2,2,4,3,0.672149986
13,2,2,4,4,0.680207344
13,2,2,4,5,0.6835898
13,2,2,4,6,0.67619831
13,2,2,4,7,0.705552775
13,2,2,4,8,0.679029697
13,2,2,4,9,0.678337015
13,2,2,4,10,0.692631266
14,2,2,4,1,0.800968973
14,2,2,4,2,0.798820963
14,2,2,4,3,0.812877297
14,2,2,4,4,0.821395373
14,2,2,4,5,0.791343157
14,2,2,4,6,0.781417059
14,2,2,4,7,0.826583884
14,2,2,4,8,0.81480805
14,2,2,4,9,0.837042443
14,2,2,4,10,0.786518023
15,2,2,4,1,0.63916635
15,2,2,4,2,0.619980868
15,2,2,4,3,0.624106863
15,2,2,4,4,0.676435458
15,2,2,4,5,0.618570066
15,2,2,4,6,0.613050426
15,2,2,4,7,0.703816522
15,2,2,4,8,0.625328311
15,2,2,4,9,0.619027896
15,2,2,4,10,0.662539717
16,2,2,4,1,0.708603196
16,2,2,4,2,0.685837007
16,2,2,4,3,0.698521748
16,2,2,4,4,0.727230559
16,2,2,4,5,0.714573107
16,2,2,4,6,0.711531576
16,2,2,4,7,0.688145353
16,2,2,4,8,0.692863873
16,2,2,4,9,0.70484861
16,2,2,4,10,0.686562409
17,2,2,4,1,0.69477584
17,2,2,4,2,0.653631998
17,2,2,4,3,0.653566261
17,2,2,4,4,0.655175447
17,2,2,4,5,0.672821573
17,2,2,4,6,0.651152245
17,2,2,4,7,0.692077768
17,2,2,4,8,0.668249199
17,2,2,4,9,0.66227211
17,2,2,4,10,0.643354312
18,2,2,4,1,0.479126352
18,2,2,4,2,0.484479072
18,2,2,4,3,0.504933476
18,2,2,4,4,0.47857543
18,2,2,4,5,0.500269542
18,2,2,4,6,0.498104899
18,2,2,4,7,0.494018137
18,2,2,4,8,0.490584079
18,2,2,4,9,0.497596941
18,2,2,4,10,0.499940636
19,2,2,4,1,0.673343327
19,2,2,4,2,0.759739748
19,2,2,4,3,0.750962755
19,2,2,4,4,0.733147862
19,2,2,4,5,0.71121969
19,2,2,4,6,0.7580215
19,2,2,4,7,0.705309423
19,2,2,4,8,0.664642835
19,2,2,4,9,0.654410303
19,2,2,4,10,0.783417818
20,2,2,4,1,0.880389474
20,2,2,4,2,0.898352055
20,2,2,4,3,0.899848226
20,2,2,4,4,0.931983497
20,2,2,4,5,0.914134708
20,2,2,4,6,0.924459889
20,2,2,4,7,0.881839755
20,2,2,4,8,0.92050056
20,2,2,4,9,0.91180307
20,2,2,4,10,0.916688377
21,2,2,4,1,0.606962845
21,2,2,4,2,0.574406354
21,2,2,4,3,0.595641523
21,2,2,4,4,0.597334697
21,2,2,4,5,0.619527881
21,2,2,4,6,0.602880881
21,2,2,4,7,0.611063633
21,2,2,4,8,0.609756763
21,2,2,4,9,0.601226891
21,2,2,4,10,0.602851235
22,2,2,4,1,0.650054645
22,2,2,4,2,0.608082537
22,2,2,4,3,0.637311747
22,2,2,4,4,0.627234471
22,2,2,4,5,0.617575301
22,2,2,4,6,0.619369121
22,2,2,4,7,0.595204814
22,2,2,4,8,0.625172845
22,2,2,4,9,0.616524482
22,2,2,4,10,0.627248099
