	posx	posy	smh	smr	smv	pupil_size	sr_0	sr_1	sr_2	sr_3	sr_4	sr_5	sr_6	sr_7	sr_8	sr_9	sr_10	sr_11	sr_12	sr_13	sr_14
3691	4.4995	7.3823	-1.75	0	0	3.4876	0.145704266124	0.217612069335	0.239033536492	0.224530850941	0.156491277324	0.194706683271	0.282247949294	0.263009700337	0.271842324081	0.1855285705	0.233691340936	0.302082359496	0.328547018079	0.27024239345	0.208385242492
3692	4.4936	7.3881	-1.75	0	0	3.4886	0.145985651144	0.217560435305	0.238772651801	0.224554131522	0.156404365404	0.194916680397	0.282345467169	0.263056347706	0.272098171908	0.186196595802	0.234106301053	0.302151304252	0.328527877693	0.270382521092	0.208951786728
3693	4.4907	7.3968	-1.75	0	0	3.4886	0.145674373071	0.217192206236	0.238379426136	0.224259806438	0.156025628162	0.194601282027	0.282176113933	0.262975014315	0.272006811753	0.185964517371	0.233652982357	0.302083038031	0.328471506024	0.270242929176	0.208602394194
3694	4.4907	7.3939	-1.75	0	0	3.4876	0.145571732508	0.217726186205	0.239139337595	0.224567431761	0.155939407667	0.194382597733	0.282218760833	0.262987880034	0.27185877503	0.185200519989	0.233160889922	0.302026271956	0.328494091461	0.27020054342	0.208248631576
3695	4.4849	7.3823	-1.75	0	0	3.4856	0.145226372108	0.21763672149	0.238839400212	0.224018924256	0.155692347789	0.194712458949	0.282451286463	0.263313338248	0.271990323216	0.18556345557	0.233663572137	0.302298887112	0.328673830403	0.270440076352	0.208506206062
3696	4.479	7.3707	-1.75	0	0	3.4836	0.145808296864	0.217885534887	0.239396928251	0.22461558979	0.155956920547	0.194578982238	0.282504343918	0.263274418702	0.272030225895	0.185613429378	0.233695085703	0.302227739815	0.328552157603	0.270697124883	0.208720425066
3697	4.4819	7.3765	-1.75	0	0	3.4826	0.145787411243	0.217330930357	0.238581213078	0.223983713234	0.155767562082	0.194965973136	0.282383115802	0.262975466317	0.271958855325	0.186095416293	0.23413277724	0.302277065713	0.328555541651	0.270506786258	0.20902568477
3698	4.4936	7.3881	-1.75	0	0	3.4826	0.146284509049	0.21799507342	0.238687472781	0.224229762448	0.156313920055	0.194760130868	0.282296440719	0.26307349267	0.271876281719	0.185656985175	0.233868163524	0.302083811578	0.328498918211	0.270230990964	0.208536422495
3699	4.4965	7.3968	-1.75	0	0	3.4816	0.14597933842	0.217873942521	0.23890195535	0.224368768515	0.156510584986	0.194993809835	0.282360129516	0.262997873749	0.271902866926	0.185961627272	0.233849153458	0.302130346143	0.328448047421	0.270300425973	0.208849914642
3700	4.4878	7.3997	-1.75	0	0	3.4806	0.145886180162	0.217517222599	0.238527555473	0.224231633847	0.156253726168	0.194464852788	0.282183651452	0.263029879287	0.271919537039	0.185767359262	0.233604852004	0.302081523405	0.328466979433	0.270424102348	0.209058317414
3701	4.4761	7.3997	-1.75	0	0	3.4806	0.145621786203	0.21766787433	0.239052638444	0.224461411927	0.156122879488	0.194618123035	0.282194476214	0.263278681746	0.272073425749	0.185891672364	0.233647312365	0.30204313113	0.328567869132	0.270675205143	0.208839964161
3702	4.4761	7.391	-1.75	0	0	3.4806	0.145819851579	0.217509191094	0.238944087736	0.224508339503	0.156104891014	0.194725121589	0.282328743898	0.263341577314	0.272266674953	0.185916445663	0.233664927764	0.30198827475	0.32852328603	0.270769070299	0.209031036965
3703	4.4702	7.3823	-1.75	0	0	3.4816	0.145764798602	0.217506837655	0.238849668241	0.224367953079	0.155897432787	0.194084196644	0.282080369225	0.262987720333	0.271797359215	0.185380032038	0.233594208761	0.302128146492	0.328549310533	0.270466743095	0.208803713598
3704	4.4644	7.3707	-1.75	0	0	3.4816	0.145758800071	0.21772223346	0.238884255396	0.224480559337	0.156564829529	0.195097199223	0.28247871021	0.263085188179	0.272041557009	0.186095618541	0.233929929004	0.302085021879	0.32847870014	0.27033282128	0.208650075676
3705	4.4615	7.3678	-1.75	0	0	3.4826	0.146057339925	0.217879267444	0.239098950935	0.224614446534	0.156676140155	0.194789911523	0.282284253648	0.262921744855	0.271861447721	0.1861996371	0.234246535581	0.302189583942	0.328386721998	0.270321580753	0.209006898974
3706	4.479	7.3649	-1.75	0	0	3.4806	0.145815715703	0.217618069024	0.238787363244	0.224173286735	0.155788749541	0.195051354106	0.282558034408	0.263113885115	0.272009285735	0.18621697106	0.234150554125	0.302275550325	0.328530216601	0.27043212675	0.209133657259
3707	4.4936	7.3678	-1.75	0	0	3.4796	0.145792691157	0.217962018533	0.239479397868	0.224740074749	0.155975028029	0.194588727958	0.282475804754	0.263275270932	0.272176831735	0.18562105479	0.233409959231	0.302090276818	0.328496348296	0.270319144298	0.208450146998
3708	4.5111	7.3707	-1.75	0	0	3.4786	0.146366763635	0.218129727373	0.239044551623	0.224450281635	0.156350360989	0.19493177221	0.282494058378	0.263090329042	0.272011018242	0.186000765584	0.233772251356	0.30215125195	0.328462921118	0.270270030778	0.208963680168
3709	4.5082	7.3736	-1.75	0	0	3.4796	0.145679657133	0.218193893122	0.239576138004	0.224823815443	0.156097377054	0.194292924592	0.282369597876	0.26325401057	0.272188439654	0.185888475643	0.233497518632	0.302149038675	0.32856018878	0.270457690694	0.208759122844
3710	4.5082	7.3736	-1.75	0	0	3.4806	0.145439698707	0.217701594925	0.239038910553	0.224376385864	0.155987437494	0.194555820882	0.282312546167	0.263163340116	0.27207796032	0.185937351821	0.233757408786	0.302204068853	0.328602812525	0.270600406288	0.208731304002
3711	4.5082	7.3765	-1.75	0	0	3.4816	0.145781146061	0.217842371823	0.239172033813	0.2246800044	0.156297370216	0.194590683703	0.282557197728	0.263407466324	0.272266249751	0.185717043253	0.233316174243	0.302117518019	0.328695378532	0.270629384406	0.208856823605
3712	4.5053	7.3794	-1.75	0	0	3.4806	0.145785743365	0.217530601541	0.238557528503	0.223961098152	0.155736368668	0.194792026045	0.282301259919	0.262963037645	0.271931810651	0.185778522596	0.23428833181	0.302308786238	0.328557680912	0.270659578901	0.209317141387
3713	4.5053	7.3794	-1.75	0	0	3.4786	0.145589779111	0.21744564968	0.23893441854	0.224612605315	0.156499515212	0.194728425577	0.282269904281	0.263008607781	0.272003757816	0.185705440197	0.233501701089	0.302091484261	0.328452190898	0.270245119375	0.208506090191
3714	4.5024	7.3794	-1.75	0	0	3.4767	0.145743103926	0.217613396238	0.239197284339	0.224685976144	0.156081621305	0.194626798383	0.28228254553	0.263165675504	0.27225274449	0.186132451891	0.233569823707	0.302038231966	0.328538216557	0.270607327441	0.208860524418
3715	4.4995	7.3736	-1.75	0	0	3.4767	0.145694786935	0.217618218672	0.238891114782	0.224325179607	0.156003356326	0.194570629866	0.282171552839	0.263081047959	0.272079901705	0.185701956901	0.233754773522	0.302153088519	0.328626345369	0.270763972815	0.209147926635
3716	4.4965	7.3707	-1.75	0	0	3.4767	0.145694440229	0.218026255925	0.239236665491	0.22443338139	0.155817298743	0.194600652133	0.282480923955	0.263191385325	0.272024222618	0.18550115024	0.233561556046	0.302212641146	0.328548144024	0.270584110247	0.208801374469
3717	4.4995	7.3707	-1.75	0	0	3.4767	0.145781464389	0.217597544746	0.239021618635	0.2245276875	0.156348809167	0.194916161788	0.282265607273	0.263139983847	0.272170734261	0.186107180432	0.233977475679	0.302164451335	0.328542486882	0.270511597217	0.208869448293
3718	4.4965	7.3794	-1.75	0	0	3.4747	0.145949234081	0.217886435476	0.239313472451	0.224931259635	0.156572133812	0.194643187332	0.282300701335	0.263244116247	0.272208275137	0.185955105607	0.233977825327	0.302199271442	0.328568705482	0.270650675376	0.209212755688
3719	4.4936	7.3881	-1.75	0	0	3.4727	0.145811038791	0.21795391161	0.239256181557	0.224867427846	0.156548647182	0.194434847751	0.282293244942	0.263412018067	0.272343434741	0.186085919563	0.233647823339	0.302078467209	0.328564163299	0.270802700282	0.209172345908
3720	4.4907	7.3881	-1.75	0	0	3.4707	0.145621768835	0.21784784171	0.239133828398	0.224362813188	0.155922777192	0.194602581925	0.282610826652	0.263539283128	0.272205676911	0.185541892253	0.233526419249	0.302121351185	0.328607882236	0.27064634102	0.208544305958
3721	4.4936	7.3765	-1.75	0	0	3.4717	0.145807919895	0.217480358154	0.238937721748	0.224531407005	0.156275062458	0.194365860469	0.282033815509	0.263073093013	0.271963044369	0.185809346644	0.233498696752	0.301855950954	0.32842478688	0.270500021862	0.208994668837
3722	4.4995	7.362	-1.75	0	0	3.4727	0.145798664222	0.217662326312	0.238950450969	0.22426359806	0.155849894211	0.194807374335	0.282308214165	0.263084548634	0.271878491747	0.18552273753	0.234117042995	0.302226469374	0.328502881705	0.270579009413	0.208822567303
3723	4.5053	7.3591	-1.75	0	0	3.4737	0.145619888996	0.217489616192	0.238970648862	0.224456395644	0.155911039487	0.194702746368	0.282263086805	0.263164672337	0.272155821087	0.18585588636	0.233803410037	0.302098545418	0.328542723328	0.270631080432	0.209038356366
3724	4.5024	7.3591	-1.75	0	0	3.4747	0.145590797648	0.217694118838	0.239162863301	0.22460747096	0.155884296398	0.194066170186	0.282158531335	0.263123823398	0.271916320847	0.185314329822	0.233541037305	0.302117034893	0.328498718383	0.270650959938	0.208829658566
3725	4.5024	7.362	-1.75	0	0	3.4747	0.145601327825	0.217639474056	0.239241586411	0.224703068622	0.15618167184	0.194612279062	0.282348687651	0.263236026137	0.272257093368	0.186081325475	0.233340044183	0.301997505466	0.328548769775	0.27063344309	0.208826231664
3726	4.5024	7.3649	-1.75	0	0	3.4747	0.145973472602	0.218181074255	0.239665631637	0.224857796791	0.156161324226	0.194679496792	0.282535513332	0.26343160683	0.272148991868	0.185801599811	0.233598795684	0.302163403854	0.328520885769	0.270674789614	0.208905907805
3727	4.4995	7.3707	-1.75	0	0	3.4757	0.145416092177	0.217555380624	0.239092773327	0.224354063852	0.155692868442	0.194525977511	0.282322678484	0.263309507818	0.272077009791	0.185692843993	0.233492923054	0.302169815314	0.328656398398	0.270344040435	0.208503457734
3728	4.4965	7.3736	-1.75	0	0	3.4747	0.145782893203	0.217973716932	0.239500752175	0.224787654849	0.156165257148	0.194408447479	0.282404921007	0.263372138904	0.272164174623	0.185753514791	0.233506943645	0.302105607342	0.328591160495	0.270385310446	0.208685067748
3729	4.4995	7.3765	-1.75	0	0	3.4747	0.145538913487	0.217735243186	0.239212281258	0.224521406137	0.155985909413	0.19461036618	0.282626112467	0.263552836958	0.272256159558	0.185761754504	0.233415356967	0.302245375986	0.328625787009	0.270533288985	0.208670205282
3730	4.5053	7.3765	-1.75	0	0	3.4747	0.146036079622	0.217945655583	0.238946408807	0.224514935912	0.156240988348	0.194772769422	0.282437884544	0.263084917219	0.272074150876	0.185935793156	0.234300972955	0.30227638513	0.328435796084	0.270413059838	0.20887619194
3731	4.5082	7.3794	-1.75	0	0	3.4747	0.145592977557	0.217511601311	0.238843376009	0.224233959791	0.15579950779	0.194391382082	0.282175167666	0.263208887668	0.271921612193	0.185426604718	0.233618835856	0.302034805238	0.328626352084	0.270591739915	0.208935163049
3732	4.5053	7.3852	-1.75	0	0	3.4747	0.145618375588	0.217320240634	0.238645931807	0.224112527449	0.155765808804	0.194744692174	0.282115215492	0.263077990406	0.272083265926	0.185698135587	0.234139965932	0.302205536979	0.328448504295	0.270651256433	0.20921392778
3733	4.5053	7.3939	-1.75	0	0	3.4747	0.145484514817	0.217256991266	0.23885110572	0.224346779926	0.155734335308	0.194110014058	0.28191995905	0.263119023759	0.271985430675	0.185513522697	0.233740625367	0.302063605638	0.328561268062	0.270717390599	0.209056007302
3734	4.5053	7.3997	-1.75	0	0	3.4727	0.145941326323	0.217507299041	0.238814616467	0.224453239515	0.156275787777	0.194827269476	0.282294059936	0.263306496523	0.272170579018	0.185891342124	0.233955052589	0.302099478861	0.32852901386	0.270585880725	0.209004767129
3735	4.5111	7.4026	-1.75	0	0	3.4707	0.145292095471	0.21723346622	0.238622129314	0.224271131998	0.155937533846	0.194422027319	0.282047998876	0.263200188958	0.272121420257	0.185887815252	0.233597675355	0.302041121635	0.328610936617	0.270453971386	0.208716940763
3736	4.517	7.3968	-1.75	0	0	3.4687	0.145866622488	0.217405272497	0.238616640186	0.224167721915	0.155811113458	0.194820318752	0.282426539895	0.263233613098	0.2721840419	0.186047343627	0.233946043174	0.302264190564	0.328628082864	0.270648643683	0.209391563374
3737	4.5257	7.3939	-1.75	0	0	3.4697	0.145684716415	0.21734545807	0.238946672967	0.224558140397	0.156370280933	0.194451440359	0.282010348084	0.263294038758	0.272237237382	0.186088529158	0.233874671727	0.302042010099	0.328507777662	0.270366014464	0.208678737201
3738	4.5287	7.4026	-1.75	0	0	3.4687	0.145661698022	0.217862267622	0.239114723795	0.224547726717	0.155896067637	0.194200822176	0.282300616008	0.263499765967	0.272239845621	0.185444202896	0.233447104379	0.302108335278	0.328530022994	0.270527174315	0.208647579148
3739	4.5316	7.4141	-1.75	0	0	3.4677	0.145604297165	0.217767187469	0.239095411263	0.224692567725	0.156278777367	0.194552117314	0.28231404417	0.263524902684	0.272467853237	0.185932309738	0.233607240985	0.302097205542	0.328581867824	0.27063814099	0.208849246574
3740	4.5316	7.4286	-1.75	0	0	3.4667	0.145784032689	0.217415666431	0.238636101265	0.224331793348	0.156326169994	0.19466822845	0.28217330771	0.263353240805	0.272000620193	0.185471866712	0.233633525535	0.301979685701	0.328505603824	0.270307463087	0.208472767818
3741	4.517	7.4373	-1.75	0	0	3.4677	0.145766584899	0.217366354702	0.238313828437	0.22392579916	0.156361998204	0.19485547556	0.282357898993	0.263349266237	0.272016365397	0.185639712774	0.233775902994	0.302037625751	0.328476056103	0.270184878563	0.20836798611
3742	4.5024	7.417	-1.75	0	0	3.4667	0.145898400185	0.218032099918	0.239249761359	0.224736252286	0.156129456251	0.194619751345	0.282506376976	0.263681656684	0.272323942694	0.185769200216	0.233672188897	0.302269481828	0.328722650942	0.27066135304	0.208923430014
3743	4.4995	7.3968	-1.75	0	0	3.4647	0.145688536283	0.217602949159	0.239069630137	0.224739557813	0.156403320965	0.194658175493	0.28228037869	0.263492360657	0.272212262875	0.185801318407	0.233563362435	0.301991291787	0.32850853216	0.27047241197	0.20871330781
3744	4.5141	7.3881	-1.75	0	0	3.4627	0.145541615542	0.217562655477	0.239055655516	0.224459757089	0.155930422974	0.194152237994	0.282258576249	0.263403608849	0.272026007451	0.185116747475	0.233601297393	0.302296440822	0.328623843847	0.270597858863	0.208559362295
3745	4.5257	7.4026	-1.75	0	0	3.4627	0.145712104743	0.217700928297	0.23904038431	0.224484503971	0.156007834014	0.194430633524	0.282338156641	0.263494883054	0.272156424008	0.185509802217	0.233296775408	0.302069217598	0.328546307296	0.270330939522	0.208387296051
3746	4.5257	7.417	-1.75	0	0	3.4637	0.14574679024	0.217559442865	0.239103350897	0.224654313863	0.156288995672	0.19445551279	0.282251702004	0.263617032888	0.272361625291	0.185895858773	0.233416590147	0.302102534038	0.328627791091	0.270678085756	0.209067031509
3747	4.5316	7.417	-1.75	0	0	3.4627	0.146069218317	0.217755700988	0.239137305473	0.224789396042	0.156466680287	0.194592649001	0.282208489081	0.263604961181	0.272403947032	0.185990472089	0.233687137249	0.302026973929	0.328603704608	0.270763979797	0.209174496542
3748	4.5374	7.417	-1.75	0	0	3.4607	0.145653966067	0.217425078761	0.238835246513	0.224294181444	0.15590535416	0.194507318004	0.282249386294	0.263529764814	0.272320831773	0.185990124676	0.233658334043	0.302166333048	0.328650529142	0.270637210453	0.2088957126
3749	4.5287	7.417	-1.75	0	0	3.4607	0.145717184801	0.217419161707	0.238711857918	0.224341162377	0.156168845666	0.194773656068	0.282277920517	0.263437463002	0.272213886123	0.18598394773	0.234026634256	0.302176867629	0.328623263869	0.270822147772	0.209318686158
3750	4.5141	7.417	-1.75	0	0	3.4617	0.14545630032	0.217765623102	0.239129250137	0.224555447574	0.155981815862	0.194351362947	0.282298420347	0.26352572313	0.272039550203	0.185235359792	0.233441804389	0.302099625939	0.328501350889	0.270109905576	0.208072138076
3751	4.4965	7.4199	-1.75	0	0	3.4637	0.145836912133	0.217447360534	0.238984069663	0.224586884107	0.156235112007	0.19467586323	0.282288464462	0.263550829864	0.272324107203	0.186012496245	0.23399928758	0.302140309174	0.328578833966	0.270721138872	0.209103760817
3752	4.5024	7.4199	-1.75	0	0	3.4627	0.145549746527	0.217581389049	0.239091763183	0.224557838393	0.156239510962	0.194401404055	0.282261688018	0.263559616964	0.272108819635	0.185500310527	0.233452027536	0.302069341509	0.328579146672	0.270217237263	0.20830039697
3753	4.5111	7.4199	-1.75	0	0	3.4607	0.145370347191	0.217244316231	0.239006625857	0.224561619768	0.156008235601	0.194351252331	0.28215581056	0.26372951917	0.272406521899	0.185849519974	0.233579681372	0.30203984305	0.328565420086	0.270304799523	0.208507850031
3754	4.5228	7.417	-1.75	0	0	3.4597	0.145656167389	0.217682108021	0.239202479713	0.224620771005	0.156118491521	0.194391143756	0.282239711683	0.263653198496	0.272325223688	0.185781484482	0.233334704435	0.302082527731	0.328585630068	0.270437366482	0.208484329832
3755	4.5257	7.417	-1.75	0	0	3.4597	0.146269765207	0.2178150319	0.238718510216	0.224385578196	0.156254169888	0.194845293714	0.282427853374	0.2635313628	0.272324676686	0.186139790066	0.233829604033	0.302137215916	0.328501101448	0.270378753867	0.208882145252
3756	4.5287	7.417	-1.75	0	0	3.4607	0.146159903373	0.217789702833	0.23884124918	0.224691926423	0.156693608025	0.194695027467	0.282260068037	0.26349630617	0.272350253474	0.186144719644	0.233995474273	0.302202618281	0.328588085058	0.270598257792	0.209213454742
3757	4.5287	7.417	-1.75	0	0	3.4607	0.145460901128	0.217779806127	0.239351775191	0.224565506292	0.155978621096	0.194396284906	0.282315285704	0.263670215093	0.272189483612	0.185320863576	0.233665405483	0.30213931812	0.328549675685	0.270182322594	0.20802221133
3758	4.5287	7.4199	-1.75	0	0	3.4607	0.145936608939	0.21743037352	0.23860345263	0.224424022214	0.156327405979	0.195202509463	0.282465712361	0.263425258573	0.272239699991	0.185850034886	0.233857308309	0.302229261856	0.328465253137	0.270450942102	0.208919661918
3759	4.5257	7.4228	-1.75	0	0	3.4587	0.145640355018	0.217896893796	0.239233893283	0.22450231102	0.156037141403	0.194563425939	0.282457395858	0.263899145606	0.272421606505	0.185769547724	0.233499171779	0.302043241442	0.328640430655	0.270626923925	0.208776994507
3760	4.5199	7.4257	-1.75	0	0	3.4577	0.145751841666	0.217483510338	0.238580309873	0.223955544041	0.156037349367	0.194830299303	0.282200433444	0.263353703572	0.272064593265	0.185635763063	0.234057742681	0.302318561518	0.32852558683	0.27043059331	0.209019647488
3761	4.5199	7.4315	-1.75	0	0	3.4567	0.145913284652	0.217285117357	0.238380866976	0.224032988796	0.155995374244	0.194995146197	0.282371180177	0.263666192887	0.272483423001	0.186239563087	0.23371705773	0.302080113347	0.328569472242	0.270658816533	0.209170310833
3762	4.517	7.4315	-1.75	0	0	3.4567	0.145782263728	0.217395392501	0.238746621047	0.224321431506	0.156200668582	0.194831151404	0.282261504783	0.263553419575	0.272314073507	0.1860120393	0.234124606847	0.302126461363	0.328529743345	0.270553520556	0.209009284007
3763	4.5111	7.4257	-1.75	0	0	3.4567	0.145543614429	0.217376771165	0.238983798703	0.2245729676	0.155990665169	0.194494269117	0.282182083624	0.263687941547	0.272157494734	0.185481127409	0.233460209969	0.302118084985	0.328602068425	0.270546830219	0.208679050364
3764	4.5053	7.4228	-1.75	0	0	3.4567	0.146000272453	0.218218853936	0.239601087451	0.224681571454	0.155983061642	0.194695866529	0.282605029827	0.26387289757	0.27238528164	0.185794406654	0.233616795033	0.302320651784	0.328643203543	0.270475506494	0.208682339768
3765	4.5082	7.4286	-1.75	0	0	3.4567	0.145506087661	0.217361179954	0.238876049692	0.224250676687	0.15575219997	0.194515494412	0.282278148472	0.263792010739	0.272302040139	0.185939090359	0.23363697838	0.30231583439	0.32874894526	0.270624929454	0.208871123557
3766	4.5199	7.4431	-1.75	0	0	3.4567	0.145696941003	0.217154515778	0.23875056125	0.224458195182	0.15623057287	0.194684423416	0.282138287766	0.263581802068	0.272443167794	0.186071187842	0.233743874909	0.302120076914	0.328550096164	0.270346465074	0.208587052217
3767	4.5287	7.4547	-1.75	0	0	3.4567	0.145497164632	0.217434759762	0.238570412043	0.224027875318	0.155514812831	0.194450074491	0.282338218604	0.263826441647	0.272169629039	0.185282198223	0.233547551384	0.302245778501	0.328683836431	0.270210461573	0.208296768193
3768	4.5316	7.4518	-1.75	0	0	3.4557	0.1458054232	0.217491494628	0.238676841446	0.224577103554	0.156551160735	0.194823754503	0.282208831018	0.263739125243	0.27258026977	0.186290484808	0.23407793699	0.302070518041	0.328590967408	0.270577904634	0.208966974318
3769	4.5345	7.4489	-1.75	0	0	3.4557	0.145623330792	0.217226922449	0.238725841649	0.224593651797	0.15622556916	0.194479605179	0.282073594557	0.263593159694	0.27226387592	0.185485806253	0.233516557846	0.301978028855	0.328543449913	0.270354801125	0.2084509006
3770	4.5345	7.4431	-1.75	0	0	3.4557	0.145595016158	0.2175859226	0.238883190838	0.224409281691	0.156082777894	0.194764949906	0.28265669531	0.264008291809	0.272500197607	0.185721510239	0.233560325758	0.302324546006	0.328700125897	0.270702334825	0.208761874192
3771	4.5374	7.4373	-1.75	0	0	3.4557	0.145964717533	0.217224389758	0.238402934966	0.224281513187	0.156092520315	0.194775278766	0.282093477146	0.263452112727	0.27227985725	0.186061720675	0.234035637715	0.302161426988	0.328562212893	0.270298712416	0.208749868091
3772	4.5345	7.4344	-1.75	0	0	3.4557	0.145654120816	0.217127382838	0.238382605994	0.224000018834	0.155747162973	0.194679288915	0.282143869343	0.263467412881	0.272120023629	0.185580934993	0.234245616131	0.302311634945	0.328530827932	0.270761330654	0.209414871046
3773	4.5345	7.4402	-1.75	0	0	3.4557	0.145617143438	0.2176803912	0.239166122357	0.224518031563	0.155987035249	0.194432820637	0.282312790424	0.26374968306	0.272370249526	0.185619834172	0.233155465823	0.302031317805	0.328620972834	0.27035603331	0.208254046633
3774	4.5345	7.446	-1.75	0	0	3.4557	0.145352768728	0.217315535588	0.238575377262	0.224047637702	0.155718690648	0.194658227444	0.282543052844	0.2639675744	0.272451872483	0.185674708049	0.233725361167	0.302367878617	0.328717753843	0.27070330042	0.208732885306
3775	4.5345	7.4518	-1.75	0	0	3.4557	0.145774262972	0.217637767658	0.238968349628	0.224569955599	0.156177045792	0.194241945388	0.28220711094	0.263769784793	0.27230123276	0.185445358314	0.233297516706	0.302098854094	0.328613721877	0.27063108898	0.208683023657
3776	4.5316	7.4518	-1.75	0	0	3.4557	0.145757041401	0.217290265913	0.238423554833	0.224191359223	0.156189976957	0.195058701082	0.282366803339	0.263695006393	0.27257339057	0.186398372631	0.233781579359	0.302100434829	0.328680812012	0.270741454945	0.209199193423
3777	4.5228	7.4518	-1.75	0	0	3.4557	0.1459411574	0.217309969702	0.238370133083	0.223897413755	0.156080441239	0.19493954042	0.28211204783	0.263461620482	0.272140793984	0.185810407686	0.234010856853	0.302207957742	0.328540904584	0.270621135137	0.209215566267
3778	4.5053	7.4518	-1.75	0	0	3.4567	0.145865883927	0.21748882935	0.238446600937	0.22400948215	0.155882516459	0.194870596696	0.282293957233	0.263570488822	0.272094246913	0.185496060303	0.234175199959	0.302359986796	0.328670372183	0.270470877942	0.208952395805
3779	4.4849	7.4402	-1.75	0	0	3.4557	0.145540064453	0.217710745794	0.239029613787	0.224456539683	0.155997906711	0.194469664873	0.282476748966	0.263815560482	0.272253202364	0.185648682837	0.233442525818	0.302052869971	0.328509528131	0.270112919292	0.208129872747
3780	4.4644	7.4315	-1.75	0	0	3.4557	0.145980029355	0.217473910817	0.238796169479	0.224417330055	0.156225625446	0.194712296971	0.282363444982	0.263742203211	0.272299577958	0.186070250759	0.233626030096	0.301976266792	0.328594157502	0.270527061969	0.208985603559
